id;test_id;answer_type_id;image_path;possible_answer_count;num_in_test
127;10;6;/img/test_K/question_7.png;1;7
128;10;6;/img/test_K/question_8.png;1;8
129;10;6;/img/test_K/question_9.png;1;9
130;10;6;/img/test_K/question_10.png;1;10
131;10;6;/img/test_K/question_11.png;1;11
132;10;6;/img/test_K/question_12.png;1;12
133;10;6;/img/test_K/question_13.png;1;13
134;10;6;/img/test_K/question_14.png;1;14
135;10;6;/img/test_K/question_15.png;1;15
136;10;6;/img/test_K/question_16.png;1;16
137;10;6;/img/test_K/question_17.png;1;17
138;10;6;/img/test_K/question_18.png;1;18
139;10;6;/img/test_K/question_19.png;1;19
140;10;6;/img/test_K/question_20.png;1;20
